uid,浏览量,点赞量,观看作者数,观看作品数,观看作品平均时长,观看配乐数,完整观看数,去过的城市数,观看作品城市数
30451,1,0,1,1,10.0,1.0,0,1.0,1.0
30452,20,0,19,20,10.95,20.0,15,1.0,17.0
30453,3,0,3,3,9.333333333333334,3.0,2,1.0,3.0
30454,1,0,1,1,10.0,1.0,0,1.0,1.0
30456,125,0,124,125,12.264,101.0,53,6.0,82.0
30457,25,3,24,25,14.08,24.0,14,1.0,22.0
30458,27,0,24,27,10.555555555555555,23.0,17,1.0,16.0
30459,6,0,6,6,20.166666666666668,6.0,4,1.0,6.0
30461,2,0,2,2,15.0,2.0,1,1.0,2.0
30462,17,0,16,17,12.117647058823529,17.0,4,1.0,6.0
30463,7,0,7,7,15.285714285714286,7.0,0,1.0,7.0
30466,3,0,3,3,8.666666666666666,3.0,1,1.0,3.0
30468,1,0,1,1,3.0,1.0,0,1.0,1.0
30470,7,0,7,7,11.428571428571429,7.0,2,2.0,7.0
30472,8,0,8,8,14.625,7.0,5,1.0,8.0
30473,5,0,5,5,8.6,5.0,2,1.0,5.0
30474,3,0,3,3,11.666666666666666,3.0,0,1.0,3.0
30476,5,0,5,5,7.8,5.0,3,1.0,5.0
30477,1,0,1,1,20.0,1.0,0,1.0,1.0
30478,1,0,1,1,10.0,1.0,0,1.0,1.0
30479,12,0,12,12,9.75,11.0,7,1.0,11.0
30480,9,0,9,9,11.555555555555555,9.0,2,1.0,9.0
30482,2,0,2,2,10.0,2.0,2,1.0,2.0
30483,4,0,4,4,17.0,4.0,4,1.0,4.0
30484,1,0,1,1,11.0,1.0,0,1.0,1.0
30485,3,0,3,3,8.333333333333334,3.0,2,1.0,3.0
30486,4,0,4,4,9.75,4.0,1,1.0,4.0
30488,1,0,1,1,40.0,1.0,0,1.0,1.0
30489,10,0,10,10,10.0,10.0,2,1.0,10.0
30490,7,1,7,7,10.285714285714286,7.0,6,1.0,7.0
30492,3,0,3,3,7.333333333333333,3.0,2,1.0,3.0
30493,8,0,8,8,9.5,7.0,5,3.0,8.0
30498,2,0,2,2,9.5,2.0,1,1.0,2.0
30500,25,0,25,25,12.08,24.0,15,1.0,24.0
30503,45,0,45,45,11.822222222222223,41.0,41,1.0,35.0
30504,1,0,1,1,10.0,1.0,1,1.0,1.0
30505,1,0,1,1,7.0,1.0,0,1.0,1.0
30507,1,0,1,1,10.0,1.0,1,1.0,1.0
30509,6,0,6,6,13.166666666666666,6.0,4,1.0,6.0
30512,27,0,27,27,11.925925925925926,21.0,18,1.0,20.0
30513,1,0,1,1,11.0,1.0,0,1.0,1.0
30514,1,0,1,1,9.0,1.0,0,1.0,1.0
30515,6,0,6,6,15.666666666666666,6.0,5,1.0,6.0
30516,30,0,29,30,13.6,27.0,14,1.0,24.0
30518,5,0,5,5,15.4,5.0,3,1.0,4.0
30519,1,0,1,1,7.0,1.0,1,1.0,1.0
30522,1,0,1,1,5.0,1.0,0,1.0,1.0
30523,5,0,5,5,9.2,5.0,5,1.0,5.0
30525,33,0,33,33,11.636363636363637,30.0,20,1.0,26.0
30526,13,0,13,13,10.538461538461538,13.0,4,1.0,13.0
30527,2,0,2,2,9.5,2.0,2,1.0,2.0
30528,1,0,1,1,20.0,1.0,1,1.0,1.0
30529,2,0,2,2,24.5,2.0,0,1.0,2.0
30531,2,0,2,2,14.5,2.0,2,1.0,2.0
30532,26,1,25,26,11.76923076923077,25.0,15,2.0,16.0
30533,15,1,15,15,11.666666666666666,15.0,2,1.0,15.0
30534,4,0,4,4,10.25,4.0,4,1.0,4.0
30535,28,0,27,28,10.107142857142858,24.0,11,1.0,23.0
30536,25,0,25,25,10.84,25.0,1,1.0,22.0
30537,10,0,10,10,9.4,10.0,2,1.0,9.0
30539,12,0,12,12,12.833333333333334,10.0,4,1.0,12.0
30540,3,0,3,3,10.0,3.0,2,1.0,3.0
30542,3,0,3,3,13.333333333333334,3.0,2,1.0,3.0
30544,5,0,5,5,13.2,5.0,2,1.0,4.0
30546,24,0,24,24,12.916666666666666,23.0,13,1.0,23.0
30550,6,0,6,6,10.666666666666666,5.0,2,1.0,6.0
30551,1,0,1,1,9.0,1.0,0,1.0,1.0
30552,2,0,2,2,9.5,1.0,1,1.0,1.0
30556,2,0,2,2,22.5,2.0,1,1.0,2.0
30557,4,0,4,4,14.25,4.0,1,1.0,4.0
30558,2,0,2,2,12.0,2.0,1,1.0,2.0
30559,1,0,1,1,16.0,1.0,1,1.0,1.0
30560,2,0,2,2,8.0,2.0,2,1.0,2.0
30561,38,0,38,38,12.052631578947368,37.0,32,1.0,31.0
30562,6,0,6,6,18.0,6.0,2,1.0,6.0
30565,7,1,7,7,8.571428571428571,7.0,5,1.0,7.0
30566,19,0,16,19,13.842105263157896,17.0,16,1.0,15.0
30570,54,0,54,54,9.62962962962963,45.0,1,1.0,42.0
30572,2,0,2,2,20.0,2.0,1,1.0,2.0
30573,4,0,4,4,9.75,4.0,4,1.0,4.0
30574,122,0,117,122,10.48360655737705,90.0,39,1.0,74.0
30575,160,0,141,160,11.10625,134.0,53,1.0,76.0
30576,114,0,109,114,10.464912280701755,96.0,18,1.0,68.0
30577,78,0,68,78,10.576923076923077,65.0,14,1.0,41.0
30578,123,0,116,123,12.105691056910569,103.0,43,1.0,70.0
30579,5,0,5,5,12.6,5.0,4,1.0,5.0
30580,6,0,6,6,9.666666666666666,6.0,2,1.0,6.0
30581,8,0,8,8,8.125,8.0,4,1.0,7.0
30582,59,0,58,59,11.033898305084746,50.0,17,1.0,47.0
30583,3,0,3,3,8.666666666666666,3.0,3,1.0,3.0
30584,30,0,30,30,10.666666666666666,28.0,18,1.0,24.0
30585,20,1,19,20,10.1,20.0,9,1.0,16.0
30586,22,0,22,22,10.363636363636363,21.0,10,1.0,20.0
30587,45,0,45,45,10.555555555555555,43.0,26,1.0,36.0
30588,505,0,421,505,11.015841584158416,341.0,110,1.0,147.0
30589,8,0,8,8,10.125,8.0,4,2.0,8.0
30590,279,0,259,279,11.28673835125448,208.0,65,1.0,108.0
30591,24,0,24,24,11.208333333333334,17.0,4,1.0,19.0
30592,28,0,25,28,11.892857142857142,27.0,11,1.0,18.0
30593,178,7,171,178,10.584269662921349,156.0,83,1.0,84.0
30594,136,0,125,136,11.941176470588236,115.0,37,1.0,70.0
30595,43,0,42,43,14.093023255813954,39.0,8,3.0,38.0
30596,200,0,192,200,10.925,166.0,78,1.0,109.0
30597,30,1,30,30,9.9,30.0,11,2.0,23.0
30598,147,3,139,147,10.761904761904763,92.0,90,1.0,77.0
30600,56,0,56,56,10.696428571428571,50.0,25,1.0,43.0
30601,43,0,42,43,12.093023255813954,35.0,18,1.0,34.0
30602,491,7,429,491,10.423625254582484,337.0,81,1.0,152.0
30604,37,0,37,37,10.405405405405405,25.0,21,2.0,34.0
30605,26,0,25,26,11.307692307692308,25.0,19,2.0,20.0
30606,35,0,35,35,12.2,33.0,17,1.0,27.0
30607,22,0,18,22,13.590909090909092,22.0,4,2.0,17.0
30608,25,0,25,25,14.04,23.0,3,2.0,22.0
30609,15,0,15,15,11.066666666666666,15.0,12,2.0,14.0
30610,3,1,3,3,15.0,3.0,1,1.0,3.0
30611,86,0,83,86,12.779069767441861,72.0,18,4.0,63.0
30612,13,0,13,13,10.076923076923077,12.0,10,1.0,13.0
30613,11,0,11,11,14.272727272727273,11.0,9,1.0,9.0
30614,21,0,21,21,13.0,21.0,13,1.0,19.0
30615,369,0,335,369,10.628726287262873,254.0,115,1.0,136.0
30616,22,0,21,22,10.363636363636363,20.0,17,1.0,20.0
30617,24,0,22,24,11.5,21.0,7,1.0,21.0
30618,277,0,261,277,11.140794223826715,195.0,55,2.0,133.0
30619,21,0,21,21,10.333333333333334,20.0,18,1.0,18.0
30620,61,0,60,61,12.0,52.0,34,3.0,51.0
30621,40,1,40,40,10.675,38.0,15,1.0,36.0
30622,41,0,41,41,10.853658536585366,37.0,15,1.0,34.0
30623,108,0,106,108,10.712962962962964,91.0,59,1.0,79.0
30624,3,0,3,3,9.333333333333334,3.0,1,1.0,3.0
30625,79,0,79,79,11.430379746835444,74.0,32,1.0,55.0
30626,100,0,97,100,11.22,90.0,20,1.0,11.0
30627,28,0,28,28,14.428571428571429,23.0,6,1.0,28.0
30628,53,0,51,53,11.358490566037736,48.0,15,3.0,34.0
30629,210,0,206,210,11.261904761904763,164.0,59,2.0,107.0
30630,220,0,215,220,10.64090909090909,192.0,94,1.0,106.0
30631,52,0,49,52,11.76923076923077,46.0,9,1.0,32.0
30632,3,0,3,3,10.0,3.0,2,1.0,3.0
30633,6,0,6,6,13.833333333333334,6.0,3,1.0,6.0
30634,93,0,91,93,11.064516129032258,78.0,7,1.0,64.0
30635,31,0,30,31,11.419354838709678,30.0,16,1.0,28.0
30636,46,5,44,46,9.934782608695652,42.0,24,2.0,38.0
30637,158,0,158,158,11.056962025316455,123.0,66,1.0,105.0
30638,2,0,2,2,7.0,2.0,1,1.0,2.0
30639,1,0,1,1,10.0,1.0,0,1.0,1.0
30640,47,0,47,47,9.297872340425531,44.0,1,1.0,36.0
30641,91,0,87,91,10.45054945054945,79.0,28,1.0,53.0
30642,91,0,86,91,10.505494505494505,82.0,33,1.0,58.0
30643,26,2,24,26,11.5,25.0,13,1.0,24.0
30644,6,0,6,6,13.166666666666666,6.0,3,1.0,6.0
30645,172,0,164,172,11.529069767441861,133.0,108,1.0,94.0
30646,3,0,3,3,10.0,3.0,2,1.0,3.0
30647,61,0,61,61,10.40983606557377,60.0,16,1.0,47.0
30648,96,0,96,96,11.34375,72.0,12,1.0,69.0
30649,5,0,5,5,18.0,5.0,2,1.0,5.0
30650,22,0,22,22,13.318181818181818,22.0,18,1.0,22.0
30651,89,0,88,89,10.786516853932584,68.0,9,2.0,53.0
30652,24,0,23,24,11.5,24.0,18,2.0,20.0
30653,203,0,199,203,10.783251231527094,144.0,76,1.0,115.0
30654,89,0,89,89,11.573033707865168,86.0,34,1.0,70.0
30655,18,0,18,18,11.944444444444445,16.0,12,2.0,16.0
30656,132,0,129,132,11.43939393939394,103.0,15,1.0,88.0
30657,47,0,46,47,11.680851063829786,45.0,23,1.0,37.0
30658,32,0,32,32,10.8125,29.0,18,1.0,27.0
30659,18,0,18,18,16.22222222222222,15.0,13,1.0,17.0
30660,7,0,7,7,13.0,7.0,5,1.0,6.0
30661,52,0,51,52,10.903846153846153,50.0,11,1.0,43.0
30662,4,0,4,4,12.5,4.0,0,1.0,4.0
30663,3,0,3,3,8.333333333333334,3.0,1,1.0,3.0
30664,68,0,67,68,11.191176470588236,61.0,25,1.0,55.0
30665,59,0,59,59,10.11864406779661,55.0,26,1.0,40.0
30666,94,0,91,94,11.23404255319149,76.0,45,1.0,64.0
30668,13,0,13,13,12.846153846153847,13.0,10,1.0,12.0
30669,2,0,2,2,9.5,2.0,2,1.0,2.0
30670,200,2,197,200,11.065,165.0,50,1.0,107.0
30672,158,0,152,158,10.974683544303797,117.0,50,1.0,83.0
30673,31,0,31,31,10.290322580645162,28.0,2,1.0,29.0
30674,14,0,12,14,8.214285714285714,14.0,7,1.0,11.0
30675,16,0,16,16,9.5625,14.0,4,1.0,14.0
30676,17,0,17,17,11.529411764705882,14.0,9,2.0,16.0
30677,212,0,205,212,11.160377358490566,182.0,65,1.0,102.0
30678,86,0,85,86,11.034883720930232,81.0,40,1.0,69.0
30679,1951,64,1740,1951,10.559200410046131,1197.0,176,1.0,279.0
30680,75,0,74,75,10.773333333333333,69.0,43,1.0,53.0
30681,25,0,25,25,9.68,22.0,9,1.0,22.0
30682,13,0,13,13,11.23076923076923,13.0,5,1.0,11.0
30683,5,0,5,5,9.2,5.0,4,1.0,5.0
30684,62,5,60,62,11.85483870967742,59.0,28,1.0,48.0
30685,12,0,12,12,12.416666666666666,12.0,2,1.0,12.0
30686,72,0,70,72,12.708333333333334,69.0,27,1.0,50.0
30687,110,0,98,110,11.554545454545455,100.0,5,1.0,41.0
30688,304,0,297,304,11.042763157894736,232.0,35,1.0,125.0
30689,7,0,7,7,10.714285714285714,7.0,1,1.0,7.0
30690,2,0,2,2,13.0,2.0,1,1.0,2.0
30691,717,0,674,717,11.566248256624826,482.0,65,5.0,195.0
30692,7,1,7,7,10.714285714285714,7.0,1,3.0,6.0
30693,3,0,3,3,12.0,3.0,1,1.0,3.0
30694,25,2,25,25,10.68,25.0,5,6.0,23.0
30695,52,0,48,52,11.288461538461538,49.0,35,1.0,38.0
30696,89,0,89,89,10.44943820224719,72.0,50,1.0,54.0
30697,79,0,79,79,10.278481012658228,71.0,51,2.0,58.0
30698,26,0,25,26,12.192307692307692,21.0,12,1.0,22.0
30699,130,0,129,130,10.861538461538462,101.0,78,1.0,87.0
30700,58,0,58,58,10.827586206896552,53.0,37,1.0,50.0
30701,9,0,9,9,8.444444444444445,8.0,1,1.0,9.0
30702,154,2,143,154,11.883116883116884,130.0,52,1.0,70.0
30703,11,0,11,11,13.272727272727273,11.0,8,1.0,9.0
30704,109,0,108,109,11.128440366972477,95.0,63,1.0,82.0
30705,43,0,42,43,12.0,41.0,35,7.0,33.0
30706,61,0,60,61,9.918032786885245,58.0,30,1.0,39.0
30707,77,0,77,77,9.935064935064934,69.0,50,2.0,66.0
30708,18,0,18,18,11.11111111111111,17.0,14,1.0,15.0
30709,136,0,134,136,11.477941176470589,119.0,88,3.0,89.0
30710,84,0,83,84,10.142857142857142,83.0,26,1.0,48.0
30711,20,1,20,20,13.3,20.0,15,3.0,19.0
30712,15,0,15,15,11.133333333333333,15.0,2,1.0,15.0
30713,27,0,27,27,16.62962962962963,24.0,13,3.0,24.0
30714,33,0,32,33,9.393939393939394,26.0,12,1.0,25.0
30715,27,3,27,27,10.518518518518519,25.0,13,1.0,23.0
30716,20,0,20,20,8.85,20.0,13,1.0,19.0
30717,228,6,217,228,10.364035087719298,165.0,80,1.0,102.0
30718,25,0,25,25,12.84,21.0,11,1.0,21.0
30719,57,0,57,57,10.789473684210526,52.0,40,1.0,40.0
30720,73,0,73,73,11.547945205479452,65.0,21,1.0,60.0
30721,240,1,240,240,10.225,171.0,67,1.0,114.0
30722,12,0,12,12,9.916666666666666,12.0,5,1.0,12.0
30723,40,1,40,40,10.55,37.0,17,2.0,32.0
30724,94,0,90,94,10.98936170212766,89.0,49,1.0,55.0
30725,91,11,90,91,9.263736263736265,77.0,34,3.0,69.0
30726,91,0,90,91,9.54945054945055,73.0,37,4.0,68.0
30727,75,2,74,75,10.48,70.0,28,1.0,59.0
30728,25,0,25,25,11.28,25.0,18,1.0,23.0
30729,361,4,305,361,11.398891966759003,280.0,80,1.0,129.0
30730,40,0,39,40,10.475,36.0,19,1.0,22.0
30731,100,0,100,100,12.13,89.0,34,1.0,65.0
30732,43,0,40,43,10.813953488372093,41.0,20,1.0,28.0
30733,225,0,216,225,11.702222222222222,180.0,54,1.0,113.0
30734,9,0,9,9,10.777777777777779,9.0,1,1.0,9.0
30735,16,0,14,16,13.4375,16.0,9,1.0,11.0
30736,106,0,102,106,12.735849056603774,88.0,68,1.0,62.0
30737,10,0,9,10,10.2,10.0,5,1.0,9.0
30738,138,0,133,138,11.876811594202898,107.0,42,5.0,88.0
30739,109,0,109,109,11.486238532110091,91.0,24,1.0,78.0
30740,58,0,49,58,9.568965517241379,54.0,19,1.0,31.0
30741,47,0,41,47,10.404255319148936,44.0,17,1.0,34.0
30742,63,0,57,63,10.777777777777779,61.0,21,1.0,48.0
30743,44,0,41,44,10.068181818181818,33.0,23,1.0,29.0
30744,111,0,110,111,10.315315315315315,91.0,43,4.0,75.0
30746,39,0,38,39,12.076923076923077,35.0,10,1.0,32.0
30747,21,0,21,21,9.952380952380953,16.0,12,1.0,19.0
30748,18,0,18,18,11.0,18.0,10,1.0,18.0
30749,5,0,5,5,8.4,5.0,3,1.0,5.0
30750,27,0,27,27,9.851851851851851,26.0,6,1.0,24.0
30751,297,3,284,297,11.377104377104377,241.0,92,1.0,118.0
30752,394,0,373,394,10.586294416243655,297.0,30,1.0,149.0
30753,3,0,3,3,5.666666666666667,3.0,1,1.0,2.0
30754,2,0,2,2,6.5,2.0,1,1.0,2.0
30755,26,0,25,26,12.73076923076923,24.0,19,1.0,22.0
30756,8,0,7,8,8.125,7.0,6,1.0,7.0
30757,19,0,18,19,13.473684210526315,17.0,6,1.0,16.0
30758,89,0,85,89,9.629213483146067,84.0,31,1.0,68.0
30759,24,0,22,24,9.666666666666666,24.0,11,1.0,16.0
30761,39,0,38,39,10.615384615384615,36.0,9,1.0,32.0
30762,193,0,177,193,10.7720207253886,141.0,93,2.0,105.0
30763,23,0,23,23,14.173913043478262,22.0,14,1.0,19.0
30764,15,0,15,15,10.666666666666666,13.0,10,1.0,14.0
30765,24,0,24,24,9.708333333333334,17.0,14,1.0,22.0
30766,28,0,28,28,12.607142857142858,26.0,19,1.0,22.0
30767,50,0,50,50,11.34,40.0,19,1.0,43.0
30768,2,0,2,2,7.0,2.0,1,1.0,2.0
30769,218,1,213,218,11.146788990825687,157.0,30,1.0,108.0
30770,53,0,52,53,11.18867924528302,48.0,20,1.0,39.0
30771,2,0,2,2,9.0,2.0,1,1.0,2.0
30772,19,0,19,19,9.894736842105264,18.0,13,1.0,18.0
30774,4,0,3,4,8.75,4.0,2,1.0,2.0
30775,13,0,13,13,11.615384615384615,13.0,6,1.0,11.0
30776,20,0,20,20,11.45,19.0,6,1.0,19.0
30777,28,0,28,28,9.75,23.0,7,1.0,21.0
30778,254,0,250,254,10.71259842519685,195.0,11,1.0,117.0
30779,111,0,111,111,10.576576576576576,81.0,58,1.0,84.0
30780,9,0,9,9,11.11111111111111,8.0,4,1.0,9.0
30781,279,0,267,279,11.275985663082437,184.0,98,1.0,122.0
30782,87,0,84,87,10.96551724137931,69.0,61,1.0,61.0
30783,58,0,58,58,11.206896551724139,51.0,31,1.0,45.0
30784,10,0,10,10,14.3,10.0,7,1.0,9.0
30785,12,0,12,12,12.416666666666666,12.0,6,1.0,12.0
30786,18,0,18,18,14.333333333333334,17.0,6,1.0,17.0
30787,113,0,110,113,10.36283185840708,81.0,42,1.0,72.0
30788,55,0,55,55,10.545454545454545,43.0,29,1.0,48.0
30789,39,0,39,39,11.615384615384615,38.0,9,1.0,30.0
30790,355,0,336,355,11.15774647887324,248.0,89,1.0,139.0
30791,162,0,152,162,10.567901234567902,146.0,63,1.0,92.0
30792,8,0,8,8,9.5,8.0,5,1.0,8.0
30793,22,0,22,22,10.318181818181818,22.0,12,4.0,20.0
30794,89,0,87,89,11.617977528089888,82.0,21,1.0,66.0
30795,1,0,1,1,10.0,1.0,0,1.0,1.0
30796,15,0,15,15,12.933333333333334,15.0,5,1.0,14.0
30797,92,0,86,92,9.66304347826087,87.0,59,1.0,51.0
30798,8,0,8,8,10.625,8.0,4,2.0,7.0
30799,13,0,13,13,10.153846153846153,13.0,8,1.0,13.0
30800,47,0,47,47,10.97872340425532,41.0,23,1.0,42.0
30801,14,0,14,14,12.142857142857142,13.0,8,1.0,14.0
30802,52,0,52,52,11.01923076923077,49.0,15,5.0,42.0
30803,17,0,17,17,10.294117647058824,17.0,9,1.0,14.0
30804,33,0,33,33,11.818181818181818,33.0,9,2.0,28.0
30805,109,0,103,109,10.477064220183486,89.0,12,1.0,78.0
30806,17,5,17,17,12.176470588235293,16.0,8,1.0,15.0
30807,60,0,58,60,9.916666666666666,51.0,28,1.0,38.0
30808,78,0,76,78,10.935897435897436,71.0,25,1.0,61.0
30810,19,0,19,19,9.210526315789474,16.0,11,3.0,18.0
30811,149,2,146,149,10.456375838926174,119.0,106,1.0,97.0
30812,24,0,24,24,12.0,24.0,10,1.0,23.0
30813,15,0,14,15,10.066666666666666,14.0,7,1.0,13.0
30814,10,0,10,10,11.5,10.0,6,1.0,10.0
30815,20,0,18,20,10.95,20.0,8,1.0,12.0
30816,1,0,1,1,21.0,1.0,1,1.0,1.0
30817,10,0,10,10,12.4,10.0,4,1.0,10.0
30818,11,0,11,11,12.363636363636363,11.0,5,1.0,11.0
30819,18,0,18,18,13.5,16.0,3,3.0,17.0
30820,11,0,11,11,10.454545454545455,11.0,5,1.0,11.0
30821,18,0,18,18,13.055555555555555,17.0,10,2.0,18.0
30822,16,0,15,16,9.6875,15.0,4,1.0,15.0
30823,86,2,84,86,10.430232558139535,76.0,34,1.0,60.0
30824,9,0,8,9,9.444444444444445,9.0,3,1.0,8.0
30825,35,0,35,35,14.285714285714286,29.0,17,1.0,30.0
30826,76,0,71,76,13.263157894736842,69.0,44,1.0,49.0
30827,119,3,114,119,10.588235294117647,106.0,18,1.0,72.0
30828,109,0,107,109,10.770642201834862,88.0,51,5.0,74.0
30829,117,0,112,117,11.196581196581196,89.0,45,1.0,72.0
30830,168,0,152,168,10.910714285714286,148.0,55,1.0,99.0
30831,115,0,115,115,10.295652173913043,87.0,47,1.0,81.0
30832,71,2,71,71,11.873239436619718,63.0,27,1.0,59.0
30833,40,0,40,40,11.475,39.0,11,3.0,35.0
30834,77,2,75,77,11.402597402597403,66.0,22,1.0,58.0
30835,4,1,4,4,7.5,4.0,1,1.0,3.0
30836,6,0,6,6,9.0,6.0,5,1.0,6.0
30837,134,0,127,134,10.343283582089553,124.0,44,1.0,83.0
30838,2,0,2,2,18.5,2.0,0,1.0,2.0
30839,24,0,24,24,10.833333333333334,20.0,7,1.0,20.0
30840,131,58,130,131,9.717557251908397,100.0,64,1.0,94.0
30841,242,59,228,242,10.611570247933884,189.0,77,1.0,83.0
30842,2,0,2,2,8.0,2.0,1,1.0,2.0
30843,10,0,10,10,8.4,10.0,7,2.0,9.0
30844,51,0,48,51,9.843137254901961,49.0,28,1.0,40.0
30845,29,0,29,29,9.344827586206897,29.0,12,1.0,23.0
30846,142,0,119,142,10.82394366197183,100.0,30,1.0,80.0
30847,7,0,7,7,9.285714285714286,7.0,2,1.0,7.0
30848,96,0,96,96,10.833333333333334,81.0,70,2.0,72.0
30849,12,0,12,12,12.916666666666666,12.0,7,1.0,9.0
30850,26,0,25,26,10.576923076923077,19.0,13,1.0,24.0
30851,51,0,50,51,13.294117647058824,46.0,30,1.0,43.0
30852,152,0,139,152,10.368421052631579,125.0,46,1.0,85.0
30853,4,0,4,4,9.25,4.0,0,1.0,4.0
30854,18,0,18,18,12.166666666666666,16.0,13,1.0,17.0
30855,258,1,254,258,11.081395348837209,195.0,70,1.0,125.0
30856,35,0,35,35,8.914285714285715,33.0,12,1.0,32.0
30857,128,0,116,128,10.71875,111.0,67,1.0,72.0
30858,36,0,36,36,9.805555555555555,32.0,13,1.0,32.0
30859,95,0,94,95,10.884210526315789,80.0,76,1.0,69.0
30860,11,0,11,11,12.0,10.0,3,1.0,10.0
30861,191,0,188,191,11.303664921465968,147.0,64,1.0,90.0
30862,92,0,91,92,11.0,70.0,35,1.0,59.0
30863,37,0,37,37,12.27027027027027,36.0,14,4.0,36.0
30864,182,0,181,182,10.615384615384615,131.0,48,2.0,94.0
30865,2,0,2,2,15.5,2.0,2,1.0,2.0
30866,87,0,86,87,11.60919540229885,76.0,62,1.0,63.0
30867,12,3,12,12,11.25,12.0,3,1.0,12.0
30868,78,0,78,78,10.576923076923077,65.0,26,1.0,64.0
30869,20,0,19,20,10.7,20.0,18,1.0,17.0
30870,101,0,101,101,11.623762376237623,89.0,27,1.0,77.0
30871,153,0,147,153,10.915032679738562,133.0,76,2.0,90.0
30872,50,0,48,50,11.82,46.0,27,1.0,43.0
30873,4,0,4,4,8.0,4.0,1,1.0,4.0
30874,3,0,3,3,20.666666666666668,3.0,1,1.0,3.0
30875,26,0,26,26,9.846153846153847,26.0,12,4.0,23.0
30876,5,0,5,5,9.2,5.0,5,1.0,5.0
30877,149,0,141,149,11.12751677852349,112.0,43,1.0,89.0
30878,82,0,82,82,11.134146341463415,68.0,23,1.0,55.0
30879,24,0,24,24,10.208333333333334,23.0,8,1.0,22.0
30880,145,0,143,145,10.337931034482759,119.0,50,2.0,91.0
30881,129,0,117,129,11.209302325581396,110.0,84,1.0,54.0
30882,1,0,1,1,7.0,1.0,0,1.0,1.0
30883,47,0,47,47,11.02127659574468,42.0,18,1.0,42.0
30884,2,0,2,2,9.0,2.0,1,1.0,2.0
30885,230,3,219,230,11.460869565217392,181.0,70,1.0,120.0
30886,23,1,21,23,10.782608695652174,23.0,4,1.0,2.0
30887,22,0,22,22,9.181818181818182,21.0,7,2.0,20.0
30888,36,0,36,36,11.86111111111111,34.0,7,1.0,32.0
30889,325,0,319,325,11.163076923076924,237.0,63,1.0,146.0
30890,182,0,162,182,11.576923076923077,163.0,45,1.0,89.0
30891,14,0,14,14,11.071428571428571,14.0,11,1.0,13.0
30892,10,0,10,10,12.1,10.0,8,1.0,9.0
30893,33,1,33,33,11.06060606060606,29.0,14,1.0,28.0
30894,30,0,28,30,10.6,30.0,11,1.0,21.0
30895,36,0,36,36,12.61111111111111,36.0,22,1.0,32.0
30896,132,0,120,132,11.037878787878787,107.0,22,1.0,64.0
30897,15,0,15,15,13.2,14.0,13,1.0,13.0
30898,152,0,150,152,11.710526315789474,107.0,20,1.0,99.0
30899,263,0,253,263,11.129277566539924,215.0,160,1.0,131.0
30900,80,1,77,80,11.7375,70.0,56,1.0,59.0
30901,68,0,68,68,11.338235294117647,59.0,28,1.0,53.0
30902,39,0,39,39,13.948717948717949,38.0,22,1.0,33.0
30903,26,0,26,26,12.846153846153847,21.0,9,1.0,23.0
30904,23,0,22,23,9.434782608695652,21.0,15,3.0,19.0
30905,69,0,68,69,10.753623188405797,62.0,21,2.0,33.0
30906,143,0,141,143,10.86013986013986,122.0,38,1.0,97.0
30907,99,0,95,99,11.131313131313131,81.0,25,5.0,64.0
30908,1,0,1,1,14.0,1.0,0,1.0,1.0
30909,17,0,16,17,8.294117647058824,17.0,9,2.0,15.0
30910,31,0,31,31,10.35483870967742,29.0,15,1.0,25.0
30911,57,0,57,57,10.210526315789474,53.0,18,1.0,34.0
30912,62,0,58,62,13.516129032258064,55.0,36,1.0,42.0
30913,81,0,81,81,11.012345679012345,70.0,38,1.0,64.0
30914,8,1,8,8,10.625,8.0,8,1.0,8.0
30915,3,0,3,3,8.333333333333334,3.0,1,2.0,3.0
30916,165,0,163,165,10.909090909090908,133.0,46,1.0,88.0
30917,5,0,5,5,15.0,5.0,3,1.0,5.0
30918,11,0,11,11,10.363636363636363,11.0,6,1.0,10.0
30919,60,0,58,60,10.916666666666666,56.0,37,1.0,46.0
30920,53,0,53,53,11.849056603773585,46.0,7,1.0,44.0
30921,59,3,58,59,12.05084745762712,54.0,21,1.0,46.0
30922,2,0,2,2,10.0,2.0,2,1.0,2.0
30923,116,0,114,116,10.724137931034482,95.0,46,2.0,80.0
30924,72,0,68,72,11.041666666666666,70.0,27,1.0,52.0
30925,43,0,43,43,11.744186046511627,38.0,20,1.0,31.0
30926,31,0,31,31,11.64516129032258,28.0,25,1.0,26.0
30927,159,1,144,159,11.144654088050315,145.0,36,1.0,66.0
30928,119,0,119,119,10.403361344537815,107.0,24,5.0,74.0
30929,81,0,81,81,11.765432098765432,67.0,52,4.0,61.0
30930,11,0,11,11,10.181818181818182,11.0,9,1.0,11.0
30931,423,0,412,423,11.250591016548464,280.0,156,1.0,163.0
30932,36,0,35,36,11.13888888888889,34.0,23,1.0,31.0
30933,74,0,73,74,11.837837837837839,64.0,30,1.0,52.0
30934,102,0,100,102,10.058823529411764,90.0,49,3.0,68.0
30935,32,0,32,32,13.09375,30.0,15,1.0,31.0
30936,106,0,104,106,11.443396226415095,86.0,52,1.0,69.0
30937,63,0,59,63,12.222222222222221,51.0,36,1.0,36.0
30938,2,0,2,2,7.5,2.0,2,1.0,2.0
30939,95,0,92,95,11.294736842105262,85.0,16,1.0,70.0
30940,3,0,3,3,13.333333333333334,3.0,1,1.0,3.0
